path	type	extension	tracked	logical_area	likely_role	test_or_prod	notes
openprover/tests/math_research/test_project_and_retrieval.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_research_map_and_obligations.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_route_failure_records.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_scheduler_and_profiles.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_scholarly_adapter.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_session_closure.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_state_machine.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_structural_effect_and_review_clock.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_trust_kernel.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_truth_identity.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_truth_mutation.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_truth_store_facade.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/math_research/test_worker_event_production_wiring.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/test_encoding_and_scope_gate.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/test_interrupt_race.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/tests/test_submit_lean_proof_name_check.py	file	.py	yes	tests	unit/integration/regression test	test	test evidence only
openprover/uv.lock	file	.lock	yes	tooling	dependency lock	tooling	locked dependency resolution
projects/demo/failed_routes.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/index.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/project.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/reports/demo-odd-sum-resolution-20260808-131154.md	file	.md	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/sources/demo_next_square.md	file	.md	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/sources/demo_odd_sum.md	file	.md	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/steering/directives.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/theorems/demo-next-square.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
projects/demo/theorems/demo-odd-sum.json	file	.json	yes	project fixture	demo project data	data	sample project state; runs ignored
pytest.ini	file	.ini	yes	tooling	test configuration	tooling	pytest discovery/configuration
run_math_agent.ps1	file	.ps1	yes	tooling	launcher	tooling	Windows command dispatcher
scripts/bootstrap.ps1	file	.ps1	yes	tooling	bootstrap/benchmark script	tooling	operational helper
scripts/bootstrap.sh	file	.sh	yes	tooling	bootstrap/benchmark script	tooling	operational helper
scripts/run_benchmark.sh	file	.sh	yes	tooling	bootstrap/benchmark script	tooling	operational helper
